gene_symbol,protein_name,database_source,evidence_type,direct_binding_or_activity,expression_response,species,cell_or_tissue,dose,exposure_time,direction,PMID/DOI/database_id,evidence_note,evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,canonical_symbol_rule
FABP5,fatty acid binding protein 5,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; qRT-PCR/protein response and adipogenic phenotype,"upregulated | Pparγ, Pparα, C/EBPα, Fabp4 and Fabp5 upregulated",Mus musculus (n=1) | Mus musculus,Not specified in CTD record; see cited PMID(s) | 3T3-L1 mouse preadipocytes,"NR in CTD record | 1, 10, 100 µM DINP",NR in CTD record | 10 days,up,CTD:C012125; PMID:31546122; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010,"CTD raw direct-DINP filter; raw_gene_symbol=FABP5; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of FABP5 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP arm of a DINP-versus-DINCH comparison; only DINP observations are retained.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
FASN,fatty acid synthase,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; qRT-PCR/protein response,downregulated | upregulated | FASN and GATA2 downregulated,Mus musculus (n=3); Sparus aurata (n=1) | Mus musculus,Not specified in CTD record; see cited PMID(s) | 3T3-L1 mouse preadipocytes,"NR in CTD record | 1, 10, 100 µM DINP",NR in CTD record | 10 days,mixed | down,CTD:C012125; PMID:29933238; PMID:33391822; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010,"CTD raw direct-DINP filter; raw_gene_symbol=FASN; species=Mus musculus (n=3); Sparus aurata (n=1); actions=decreases^expression (n=3); increases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of FASN mRNA || diisononyl phthalate results in decreased expression of FASN protein || diisononyl phthalate results in increased expression of FASN mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP arm of a DINP-versus-DINCH comparison; FASN protein repression was also reported.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
GATA2,GATA binding protein 2,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; qRT-PCR/protein response,downregulated | FASN and GATA2 downregulated,Mus musculus (n=1) | Mus musculus,Not specified in CTD record; see cited PMID(s) | 3T3-L1 mouse preadipocytes,"NR in CTD record | 1, 10, 100 µM DINP",NR in CTD record | 10 days,down,CTD:C012125; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010,"CTD raw direct-DINP filter; raw_gene_symbol=GATA2; species=Mus musculus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of GATA2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP arm of a DINP-versus-DINCH comparison; FASN protein repression was also reported.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
NFE2L2,NFE2 like bZIP transcription factor 2,ChEMBL; PubChem BioAssay | PubMed/primary literature,PubChem BioAssay-derived qHTS antioxidant-response-element functional reporter activity indexed in ChEMBL | Primary experimental DINP exposure study,Cell-based ARE/Nrf2 transcriptional reporter; not direct binding; ChEMBL activity_comment=inconclusive | No; qRT-PCR expression response,downregulated,Homo sapiens target assignment | Homo sapiens,qHTS ARE/Nrf2 reporter (cell type NR) | EA.hy926 human endothelial cells,"3.0638 µM (standard_value) | 1, 10, 100 µg/mL DINP",48 h qRT-PCR (viability also 48/72 h),agonist signal (inconclusive) | down at 100 µg/mL,CHEMBL1905899; CHEMBL3215289; CHEMBL1201862; PubChem AID:720636; activity:14297037 | PMID:40238463; DOI:10.1080/00498254.2025.2493619,"Exact DINP molecule CHEMBL1905899. ChEMBL target is NFE2L2; assay measures Nrf2-dependent transcriptional activity; record is explicitly inconclusive, so not A/direct binding. | DINP-specific arm of the paper; DEHT results were not imported. At 100 µg/mL DINP, NFE2L2, TXN and TXNRD2 were downregulated.",A,"A,B",experimental_or_curated,2,ChEMBL/PubChem BioAssay; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
NR3C1,nuclear receptor subfamily 3 group C member 1,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,CTD curated activity modulation; not necessarily direct binding | No direct chemical binding asserted; downstream molecular response | Human glucocorticoid-receptor reporter activity; not purified-protein binding,upregulated | DEX-induced GR-mediated genes enhanced in co-treatment,Balaenoptera physalus (n=1); Homo sapiens (n=1); Sparus aurata (n=1) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | Human GR reporter assays; HepG2 and A549 cells,NR in CTD record,NR in CTD record,mixed | increased transactivity in DINP+DEX co-treatment,CTD:C012125; PMID:31230093; PMID:32998617; PMID:33677245 | PMID:32998617; DOI:10.1080/10934529.2020.1826775,"CTD raw direct-DINP filter; raw_gene_symbol=NR3C1; species=Balaenoptera physalus (n=1); Homo sapiens (n=1); Sparus aurata (n=1); actions=decreases^activity (n=1); increases^activity (n=1); increases^expression (n=1); increases^reaction (n=1); representative_interactions=diisononyl phthalate results in decreased activity of NR3C1 protein || diisononyl phthalate promotes the reaction [Dexamethasone results in increased activity of NR3C1 protein] || diisononyl phthalate results in increased expression of NR3C1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. Audit flag: cited publication includes multiple chemicals or a co-treatment context; do not interpret as a DINP-only mechanistic experiment without reading the primary paper. | Audit flag: study tested six phthalates and reports DINP+DEX synergy. This is not DINP-alone evidence and should not be used as a standalone DINP direct-binding claim.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
RELA,"RELA proto-oncogene, NF-kB subunit",CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No direct chemical binding asserted; downstream molecular response | No; phosphorylation/activation and expression response,TSLP up; RELA/STAT3/STAT6 activation increased,Homo sapiens (n=1); Mus musculus (n=1) | Mus musculus,Not specified in CTD record; see cited PMID(s) | Balb/c mouse skin contact-hypersensitivity model,NR in CTD record,NR in CTD record | Oral DINP exposure for 3 weeks; then FITC sensitization,up | up/activated,CTD:C012125; PMID:27863430; PMID:28240277; PMID:31154059 | PMID:27863430; DOI:10.18632/oncotarget.13403,"CTD raw direct-DINP filter; raw_gene_symbol=RELA; species=Homo sapiens (n=1); Mus musculus (n=1); actions=increases^phosphorylation (n=2); increases^reaction (n=1); representative_interactions=diisononyl phthalate results in increased phosphorylation of RELA protein || diisononyl phthalate promotes the reaction [Fluorescein-5-isothiocyanate results in increased phosphorylation of RELA protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. Audit flag: cited publication includes multiple chemicals or a co-treatment context; do not interpret as a DINP-only mechanistic experiment without reading the primary paper. | DINP-specific mouse experiment; FITC is a sensitization stimulus. NF-κB inhibition alleviated the phenotype. Keep separate from human direct binding.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SIRT1,sirtuin 1,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; gene/protein expression response,downregulated,Homo sapiens (n=2) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | HepG2 human hepatoma cells,NR in CTD record | 1 µg/mL for expression/protein; 100 µg/mL for ROS/acetylation,NR in CTD record | NR in PubMed abstract,down,CTD:C012125; PMID:31423773 | PMID:31423773; DOI:10.1021/acs.chemrestox.9b00206,"CTD raw direct-DINP filter; raw_gene_symbol=SIRT1; species=Homo sapiens (n=2); actions=decreases^expression (n=2); representative_interactions=diisononyl phthalate results in decreased expression of SIRT1 mRNA || diisononyl phthalate results in decreased expression of SIRT1 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP significantly downregulated SIRT1/2/3/5 expression; SIRT1 and SIRT3 protein levels were also reduced.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SIRT2,sirtuin 2,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; gene/protein expression response,downregulated,Homo sapiens (n=1) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | HepG2 human hepatoma cells,NR in CTD record | 1 µg/mL for expression/protein; 100 µg/mL for ROS/acetylation,NR in CTD record | NR in PubMed abstract,down,CTD:C012125; PMID:31423773 | PMID:31423773; DOI:10.1021/acs.chemrestox.9b00206,"CTD raw direct-DINP filter; raw_gene_symbol=SIRT2; species=Homo sapiens (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SIRT2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP significantly downregulated SIRT1/2/3/5 expression; SIRT1 and SIRT3 protein levels were also reduced.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SIRT3,sirtuin 3,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; gene/protein expression response,downregulated,Homo sapiens (n=2) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | HepG2 human hepatoma cells,NR in CTD record | 1 µg/mL for expression/protein; 100 µg/mL for ROS/acetylation,NR in CTD record | NR in PubMed abstract,down,CTD:C012125; PMID:31423773 | PMID:31423773; DOI:10.1021/acs.chemrestox.9b00206,"CTD raw direct-DINP filter; raw_gene_symbol=SIRT3; species=Homo sapiens (n=2); actions=decreases^expression (n=2); representative_interactions=diisononyl phthalate results in decreased expression of SIRT3 mRNA || diisononyl phthalate results in decreased expression of SIRT3 protein. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP significantly downregulated SIRT1/2/3/5 expression; SIRT1 and SIRT3 protein levels were also reduced.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
SIRT5,sirtuin 5,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No; gene/protein expression response,downregulated,Homo sapiens (n=1) | Homo sapiens,Not specified in CTD record; see cited PMID(s) | HepG2 human hepatoma cells,NR in CTD record | 1 µg/mL for expression/protein; 100 µg/mL for ROS/acetylation,NR in CTD record | NR in PubMed abstract,down,CTD:C012125; PMID:31423773 | PMID:31423773; DOI:10.1021/acs.chemrestox.9b00206,"CTD raw direct-DINP filter; raw_gene_symbol=SIRT5; species=Homo sapiens (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of SIRT5 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP significantly downregulated SIRT1/2/3/5 expression; SIRT1 and SIRT3 protein levels were also reduced.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
STAT3,signal transducer and activator of transcription 3,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No direct chemical binding asserted; downstream molecular response | No; phosphorylation/activation and expression response,TSLP up; RELA/STAT3/STAT6 activation increased,Homo sapiens (n=1); Mus musculus (n=1) | Mus musculus,Not specified in CTD record; see cited PMID(s) | Balb/c mouse skin contact-hypersensitivity model,NR in CTD record,NR in CTD record | Oral DINP exposure for 3 weeks; then FITC sensitization,up | up/activated,CTD:C012125; PMID:27863430; PMID:31154059 | PMID:27863430; DOI:10.18632/oncotarget.13403,"CTD raw direct-DINP filter; raw_gene_symbol=STAT3; species=Homo sapiens (n=1); Mus musculus (n=1); actions=increases^phosphorylation (n=2); increases^reaction (n=1); representative_interactions=diisononyl phthalate results in increased phosphorylation of STAT3 protein || diisononyl phthalate promotes the reaction [Fluorescein-5-isothiocyanate results in increased phosphorylation of STAT3 protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. Audit flag: cited publication includes multiple chemicals or a co-treatment context; do not interpret as a DINP-only mechanistic experiment without reading the primary paper. | DINP-specific mouse experiment; FITC is a sensitization stimulus. NF-κB inhibition alleviated the phenotype. Keep separate from human direct binding.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
STAT6,signal transducer and activator of transcription 6,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No direct chemical binding asserted; downstream molecular response | No; phosphorylation/activation and expression response,TSLP up; RELA/STAT3/STAT6 activation increased,Mus musculus (n=1) | Mus musculus,Not specified in CTD record; see cited PMID(s) | Balb/c mouse skin contact-hypersensitivity model,NR in CTD record,NR in CTD record | Oral DINP exposure for 3 weeks; then FITC sensitization,up | up/activated,CTD:C012125; PMID:27863430 | PMID:27863430; DOI:10.18632/oncotarget.13403,"CTD raw direct-DINP filter; raw_gene_symbol=STAT6; species=Mus musculus (n=1); actions=increases^phosphorylation (n=1); increases^reaction (n=1); representative_interactions=diisononyl phthalate promotes the reaction [Fluorescein-5-isothiocyanate results in increased phosphorylation of STAT6 protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP-specific mouse experiment; FITC is a sensitization stimulus. NF-κB inhibition alleviated the phenotype. Keep separate from human direct binding.",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
TSLP,thymic stromal lymphopoietin,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,No direct chemical binding asserted; downstream molecular response | No; phosphorylation/activation and expression response | No; cytokine expression response,upregulated | TSLP up; RELA/STAT3/STAT6 activation increased | IL33 and TSLP increased,Mus musculus (n=2) | Mus musculus,Not specified in CTD record; see cited PMID(s) | Balb/c mouse skin contact-hypersensitivity model | Atopic-march mouse model (skin/airway tissues),NR in CTD record,NR in CTD record | Oral DINP exposure for 3 weeks; then FITC sensitization,up | up/activated,CTD:C012125; PMID:20064775; PMID:27863430; PMID:28240277 | PMID:27863430; DOI:10.18632/oncotarget.13403 | PMID:32240662; DOI:10.1016/j.taap.2020.114981,"CTD raw direct-DINP filter; raw_gene_symbol=TSLP; species=Mus musculus (n=2); actions=increases^expression (n=2); increases^reaction (n=2); representative_interactions=diisononyl phthalate promotes the reaction [Antigens, Dermatophagoides results in increased expression of TSLP protein] || diisononyl phthalate promotes the reaction [Fluorescein-5-isothiocyanate results in increased expression of TSLP protein]. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | DINP-specific mouse experiment; FITC is a sensitization stimulus. NF-κB inhibition alleviated the phenotype. Keep separate from human direct binding. | DINP exposure in an OVA-sensitized mouse atopic-march model; NF-κB and p38 MAPK blockers were used mechanistically.",A,"A,B",experimental_or_curated,2,CTD; Literature,3,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ATF4,activating transcription factor 4,PubMed/primary literature,Primary experimental DINP exposure study,DDIT4 functional mediator; ATF4 promoter binding to DDIT4 reported; neither is established as direct DINP-protein binding,DDIT4 and ATF4 increased,Homo sapiens,Primary ovarian granulosa cells and KGN cells,,,up,PMID:37976928; DOI:10.1016/j.ecoenv.2023.115686,DINP induced autophagy with increased DDIT4 mRNA/protein; DDIT4 gain/loss altered the phenotype. ATF4 bound the DDIT4 promoter and mediated the response.,A,A,experimental_or_curated,1,Literature,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
IL33,interleukin 33,PubMed/primary literature,Primary experimental DINP exposure study,No; cytokine expression response,IL33 and TSLP increased,Mus musculus,Atopic-march mouse model (skin/airway tissues),,,up,PMID:32240662; DOI:10.1016/j.taap.2020.114981,DINP exposure in an OVA-sensitized mouse atopic-march model; NF-κB and p38 MAPK blockers were used mechanistically.,A,A,experimental_or_curated,1,Literature,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
TXN,thioredoxin,PubMed/primary literature,Primary experimental DINP exposure study,No; qRT-PCR expression response,downregulated,Homo sapiens,EA.hy926 human endothelial cells,"1, 10, 100 µg/mL DINP",48 h qRT-PCR (viability also 48/72 h),down at 100 µg/mL,PMID:40238463; DOI:10.1080/00498254.2025.2493619,"DINP-specific arm of the paper; DEHT results were not imported. At 100 µg/mL DINP, NFE2L2, TXN and TXNRD2 were downregulated.",A,A,experimental_or_curated,1,Literature,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
TXNRD2,thioredoxin reductase 2,PubMed/primary literature,Primary experimental DINP exposure study,No; qRT-PCR expression response,downregulated,Homo sapiens,EA.hy926 human endothelial cells,"1, 10, 100 µg/mL DINP",48 h qRT-PCR (viability also 48/72 h),down at 100 µg/mL,PMID:40238463; DOI:10.1080/00498254.2025.2493619,"DINP-specific arm of the paper; DEHT results were not imported. At 100 µg/mL DINP, NFE2L2, TXN and TXNRD2 were downregulated.",A,A,experimental_or_curated,1,Literature,1,no,no,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ACAA2,acetyl-CoA acyltransferase 2,CTD | GEO GSE40342,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,upregulated | DEG in rat hepatocyte matrix; log2FC=1.226,Mus musculus (n=1) | Rattus norvegicus,Not specified in CTD record; see cited PMID(s) | Primary rat hepatocytes,NR in CTD record | 25 mM DINP,NR in CTD record | 24 h,up,CTD:C012125; PMID:37810885 | GSE40342; PMID:25475144; GPL1355; probe:1386880_at,"CTD raw direct-DINP filter; raw_gene_symbol=ACAA2; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ACAA2 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000198; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,2,CTD; GEO,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ACOX1,acyl-CoA oxidase 1,CTD | GEO GSE40342,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,downregulated | DEG in rat hepatocyte matrix; log2FC=1.329,Rattus norvegicus (n=1) | Rattus norvegicus,Not specified in CTD record; see cited PMID(s) | Primary rat hepatocytes,NR in CTD record | 25 mM DINP,NR in CTD record | 24 h,down | up,CTD:C012125; PMID:22112501 | GSE40342; PMID:25475144; GPL1355; probe:1367680_at,"CTD raw direct-DINP filter; raw_gene_symbol=ACOX1; species=Rattus norvegicus (n=1); actions=decreases^expression (n=1); representative_interactions=diisononyl phthalate results in decreased expression of ACOX1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | Welch two-sided test across 5 replicates, Benjamini–Hochberg q=0.000679; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,2,CTD; GEO,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
ACSL1,acyl-CoA synthetase long chain family member 1,CTD | GEO GSE40342,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,upregulated | DEG in rat hepatocyte matrix; log2FC=1.835,Mus musculus (n=1) | Rattus norvegicus,Not specified in CTD record; see cited PMID(s) | Primary rat hepatocytes,NR in CTD record | 100 mM DINP,NR in CTD record | 24 h,up,CTD:C012125; PMID:31546122 | GSE40342; PMID:25475144; GPL1355; probe:1370939_at,"CTD raw direct-DINP filter; raw_gene_symbol=ACSL1; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of ACSL1 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | Welch two-sided test across 5 replicates, Benjamini–Hochberg q=3.64e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,2,CTD; GEO,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
AQP7,aquaporin 7,CTD | GEO GSE40342,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Public toxicogenomics microarray expression response (re-analysis of GEO series matrix),No; transcriptomic response only,upregulated | DEG in rat hepatocyte matrix; log2FC=1.318,Mus musculus (n=1) | Rattus norvegicus,Not specified in CTD record; see cited PMID(s) | Primary rat hepatocytes,NR in CTD record | 100 mM DINP,NR in CTD record | 48 h,up,CTD:C012125; PMID:31546122 | GSE40342; PMID:25475144; GPL1355; probe:1368317_at,"CTD raw direct-DINP filter; raw_gene_symbol=AQP7; species=Mus musculus (n=1); actions=increases^expression (n=1); representative_interactions=diisononyl phthalate results in increased expression of AQP7 mRNA. CTD is treated as curated association evidence (B), not automatically as direct binding. Species labels are retained as supporting evidence; final symbol was validated against NCBI Homo sapiens gene_info. | Welch two-sided test across 5 replicates, Benjamini–Hochberg q=7.38e-05; candidate threshold q<0.05 and |log2FC|≥1.0. Matrix values were log2-transformed before testing. The analysis retains only rat symbols with an exact/unique human NCBI Gene_info symbol match; no complex orthology inference was performed. This is a re-analysis, not the original GEO author DE list.",B,B,experimental_or_curated,2,CTD; GEO,2,no,yes,NCBI Homo sapiens Gene_info symbol; PPARB normalized to PPARD
